GROUP: Core System
CP-ID | Status | Risk | Module | Title | Timestamp
CP-ACC-010 | fail | critical | vat | Accounting Engine proof expectation - documents and inventory create traceable journal impacts | 2026-04-26T09:49:18.592Z
CP-TAX-001 | fail | critical | vat | Tax / VAT Engine feature - VAT calculation | 2026-04-26T09:49:18.592Z
CP-TAX-002 | fail | critical | vat | Tax / VAT Engine feature - VAT summary and detail | 2026-04-26T09:49:18.592Z
CP-TAX-003 | fail | critical | vat | Tax / VAT Engine feature - country-owned decision rules | 2026-04-26T09:49:18.592Z
CP-TAX-004 | fail | critical | vat | Tax / VAT Engine proof expectation - VAT outputs reflect posted truth | 2026-04-26T09:49:18.592Z
CP-TAX-005 | fail | critical | vat | Tax / VAT Engine proof expectation - customer origin affects tax treatment | 2026-04-26T09:49:18.592Z
CP-TAX-006 | fail | critical | vat | Tax / VAT Engine UI expectation - VAT dashboard | 2026-04-26T09:49:18.592Z
CP-TAX-007 | fail | critical | vat | Tax / VAT Engine UI expectation - summary and detail views | 2026-04-26T09:49:18.592Z
CP-TAX-008 | fail | critical | vat | VAT Engine processing contract | 2026-04-26T09:49:18.592Z
CP-TAX-009 | fail | critical | vat | VAT codes and document context must persist to VAT detail output | 2026-04-26T09:49:18.592Z
CP-TAX-010 | fail | critical | vat | Buyer VAT and address requirements on tax invoices | 2026-04-26T09:49:18.592Z
CP-TAX-011 | fail | critical | vat | tax category must resolve | 2026-04-26T09:49:18.592Z
CP-TAX-012 | fail | critical | vat | rate math must reconcile with line totals | 2026-04-26T09:49:18.592Z
CP-IVC-001 | fail | critical | vat | Invoice Engine processing contract | 2026-04-26T09:49:18.592Z
CP-IVC-002 | fail | critical | vat | Invoice number must map to journal lines and ledger queries | 2026-04-26T09:49:18.592Z
CP-IVC-003 | fail | critical | vat | Required customer data present | 2026-04-26T09:49:18.592Z
CP-IVC-004 | fail | critical | vat | line items valid | 2026-04-26T09:49:18.592Z
CP-IVC-005 | fail | critical | vat | tax rules calculable | 2026-04-26T09:49:18.592Z
CP-INV-009 | fail | critical | accounting | Inventory Engine proof expectation - inventory movement affects accounting and workflow proof | 2026-04-26T09:49:18.592Z
CP-AUD-006 | fail | critical | accounting | Proof Layer feature - workflow proof scripts | 2026-04-26T09:49:18.592Z
CP-AUD-007 | fail | critical | accounting | Proof Layer feature - UI/API evidence | 2026-04-26T09:49:18.592Z
CP-AUD-008 | fail | critical | accounting | Proof Layer feature - failure diagnostics | 2026-04-26T09:49:18.592Z
CP-AUD-009 | fail | critical | accounting | Proof Layer proof expectation - critical flows have reviewable evidence | 2026-04-26T09:49:18.592Z
CP-AUD-010 | fail | critical | accounting | Proof Layer UI expectation - control dashboard reflects proof health | 2026-04-26T09:49:18.592Z
CP-AUD-014 | fail | critical | accounting | Traceability Engine processing contract | 2026-04-26T09:49:18.592Z
CP-AUD-015 | fail | critical | accounting | Every cross-module post stores source_type, source_id, and document context | 2026-04-26T09:49:18.592Z
CP-AUD-016 | fail | critical | accounting | No orphan settlement lines | 2026-04-26T09:49:18.592Z
CP-AUD-017 | fail | critical | accounting | linked document numbers must be queryable | 2026-04-26T09:49:18.592Z
CP-UX-001 | fail | critical | ux_validation | UI / UX Shell feature - dense operational shell | 2026-04-26T09:49:18.592Z
CP-UX-002 | fail | critical | ux_validation | UI / UX Shell feature - truthful route ownership | 2026-04-26T09:49:18.592Z
CP-UX-003 | fail | critical | ux_validation | UI / UX Shell feature - master design control tab | 2026-04-26T09:49:18.592Z
CP-UX-004 | fail | critical | ux_validation | UI / UX Shell proof expectation - shell exposes real implemented modules | 2026-04-26T09:49:18.592Z
CP-UX-005 | fail | critical | ux_validation | UI / UX Shell UI expectation - no placeholder overclaim for shipped modules | 2026-04-26T09:49:18.592Z
CP-UX-006 | fail | critical | ux_validation | UI / UX Shell UI expectation - live control center route | 2026-04-26T09:49:18.592Z
CP-USR-001 | fail | critical | workspace | Identity & Workspace feature - authenticated workspace session | 2026-04-26T09:49:18.592Z
CP-USR-002 | fail | critical | workspace | Identity & Workspace feature - role-aware navigation | 2026-04-26T09:49:18.592Z
CP-USR-003 | fail | critical | workspace | Identity & Workspace feature - first-class master design route | 2026-04-26T09:49:18.592Z
CP-USR-004 | fail | critical | workspace | Identity & Workspace proof expectation - route opens under workspace shell | 2026-04-26T09:49:18.592Z
CP-USR-005 | fail | critical | workspace | Identity & Workspace proof expectation - navigation exposes control center | 2026-04-26T09:49:18.592Z
CP-USR-006 | fail | critical | workspace | Identity & Workspace UI expectation - visible master design tab | 2026-04-26T09:49:18.592Z
CP-USR-007 | fail | critical | workspace | Identity & Workspace UI expectation - dedicated route ownership | 2026-04-26T09:49:18.592Z
CP-USR-008 | fail | critical | workspace | Identity & Workspace UI expectation - no catch-all placeholder for shipped control pages | 2026-04-26T09:49:18.592Z
CP-USR-009 | fail | critical | workspace | User Workspace priority - Keep receivables, payables, and VAT visible without leaving the main workflow. | 2026-04-26T09:49:18.592Z
CP-USR-010 | fail | critical | workspace | User Workspace priority - Move from task to module directly instead of routing through abstract overview pages. | 2026-04-26T09:49:18.592Z
CP-USR-011 | fail | critical | workspace | User Workspace priority - Keep every daily action one click away from the role home and sidebar. | 2026-04-26T09:49:18.592Z
CP-USR-012 | fail | critical | workspace | User Workspace sidebar group - Dashboard | 2026-04-26T09:49:18.592Z
CP-USR-013 | fail | critical | workspace | User Workspace sidebar group - Sales | 2026-04-26T09:49:18.592Z
CP-USR-014 | fail | critical | workspace | User Workspace sidebar group - Purchases | 2026-04-26T09:49:18.592Z
CP-USR-015 | fail | critical | workspace | User Workspace sidebar group - Inventory | 2026-04-26T09:49:18.592Z
CP-USR-016 | fail | critical | workspace | User Workspace sidebar group - Accounting | 2026-04-26T09:49:18.592Z
CP-USR-017 | fail | critical | workspace | User Workspace sidebar group - Banking | 2026-04-26T09:49:18.592Z
CP-USR-018 | fail | critical | workspace | User Workspace sidebar group - VAT / Compliance | 2026-04-26T09:49:18.592Z
CP-USR-019 | fail | critical | workspace | User Workspace sidebar group - Reports | 2026-04-26T09:49:18.592Z
